Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Tracker,Status
jubelay-instant-jersey-hijab-set-black,JUBELAY Instant Jersey Hijab Set — Black,JUBELAY,Instant Hijab,"hijab, instant hijab, jersey hijab, jubelay, modest fashion, black, COD",TRUE,Title,Default Title,JUBELAY-HIJAB-BLK-001,1799.00,2299.00,25,shopify,active
jubelay-instant-jersey-hijab-set-beige,JUBELAY Instant Jersey Hijab Set — Beige,JUBELAY,Instant Hijab,"hijab, instant hijab, jersey hijab, jubelay, modest fashion, beige, COD",TRUE,Title,Default Title,JUBELAY-HIJAB-BEG-001,1799.00,2299.00,25,shopify,active
jubelay-instant-jersey-hijab-set-dusty-rose,JUBELAY Instant Jersey Hijab Set — Dusty Rose,JUBELAY,Instant Hijab,"hijab, instant hijab, jersey hijab, jubelay, modest fashion, dusty rose, COD",TRUE,Title,Default Title,JUBELAY-HIJAB-ROS-001,1799.00,2299.00,25,shopify,active
jubelay-instant-jersey-hijab-set-olive-green,JUBELAY Instant Jersey Hijab Set — Olive Green,JUBELAY,Instant Hijab,"hijab, instant hijab, jersey hijab, jubelay, modest fashion, olive green, COD",TRUE,Title,Default Title,JUBELAY-HIJAB-OLV-001,1799.00,2299.00,25,shopify,active
jubelay-instant-jersey-hijab-set-navy-blue,JUBELAY Instant Jersey Hijab Set — Navy Blue,JUBELAY,Instant Hijab,"hijab, instant hijab, jersey hijab, jubelay, modest fashion, navy blue, COD",TRUE,Title,Default Title,JUBELAY-HIJAB-NVY-001,1799.00,2299.00,25,shopify,active
jubelay-magnetic-hijab-pin-set-6-pcs,JUBELAY Magnetic Hijab Pin Set (6 pcs),JUBELAY,Hijab Accessories,"jubelay, COD",TRUE,Title,Default Title,JUBELAY-PIN-GLD-001,499.00,699.00,50,shopify,active
jubelay-hijab-underscarf-cap-2-pack,JUBELAY Hijab Underscarf Cap — 2 Pack,JUBELAY,Hijab Accessories,"jubelay, COD",TRUE,Title,Default Title,JUBELAY-CAP-2PK-001,399.00,549.00,40,shopify,active
jubelay-starter-bundle-hijab-pins-cap,JUBELAY Starter Bundle (Hijab + Pins + Cap),JUBELAY,Bundles,"jubelay, COD",TRUE,Title,Default Title,JUBELAY-BND-STR-001,2199.00,2697.00,20,shopify,active
